Id,Story,Labels,Iteration,Iteration Start,Iteration End,Story Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Owned By,Description,URL
5134231,Macro for controller messages,"",1,"Sep 13, 2010","Sep 19, 2010",feature,2,accepted,"Sep 12, 2010","Sep 16, 2010",,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5134231
5264326,Macro for controllers,"",1,"Sep 13, 2010","Sep 19, 2010",feature,2,accepted,"Sep 20, 2010","Sep 16, 2010",,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264326
5264333,Macro for controller tests,"",1,"Sep 13, 2010","Sep 19, 2010",feature,2,accepted,"Sep 20, 2010","Sep 17, 2010",,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264333
5264453,Sketch out Pac-Man app,"",1,"Sep 13, 2010","Sep 19, 2010",feature,4,accepted,"Sep 20, 2010","Sep 18, 2010",,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264453
5264534,Load and show start screen,"",1,"Sep 13, 2010","Sep 19, 2010",feature,2,accepted,"Sep 20, 2010","Sep 19, 2010",,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264534
5264419,"Get ""Hello World!"" running","",1,"Sep 13, 2010","Sep 19, 2010",feature,4,accepted,"Sep 20, 2010","Sep 19, 2010",,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264419
5264521,Macro for screen elements,"",2,"Sep 20, 2010","Sep 26, 2010",feature,4,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264521
5264543,Move between screens,"",2,"Sep 20, 2010","Sep 26, 2010",feature,4,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264543
5264608,Render world as screen element,"",2,"Sep 20, 2010","Sep 26, 2010",feature,4,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264608
5264613,Instantiate controllers upon world creation,"",2,"Sep 20, 2010","Sep 26, 2010",feature,4,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264613
5264684,Pump out Update message,"",3,"Sep 27, 2010","Oct 3, 2010",feature,2,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264684
5134252,"Messages should be handled concurrently, preserving order","",3,"Sep 27, 2010","Oct 3, 2010",feature,4,unstarted,"Sep 12, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5134252
5264685,Synchronize on Update message,"",3,"Sep 27, 2010","Oct 3, 2010",feature,4,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264685
5134244,Macro for message sending,"",3,"Sep 27, 2010","Oct 3, 2010",feature,2,unstarted,"Sep 12, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5134244
5264549,Add player to game upon start,"",3,"Sep 27, 2010","Oct 3, 2010",feature,2,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264549
5134250,Macro for message receiving,"",3,"Sep 27, 2010","Oct 3, 2010",feature,2,unstarted,"Sep 12, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5134250
5134255,Messages should be serializable,"",4,"Oct 4, 2010","Oct 10, 2010",feature,4,unstarted,"Sep 12, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5134255
5264530,Macro for modes,"",4,"Oct 4, 2010","Oct 10, 2010",feature,2,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264530
5264527,Macro for screens,"",4,"Oct 4, 2010","Oct 10, 2010",feature,2,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264527
5264517,Macro for worlds,"",4,"Oct 4, 2010","Oct 10, 2010",feature,2,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264517
5264513,Macro for views,"",4,"Oct 4, 2010","Oct 10, 2010",feature,2,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264513
5264512,Macro for actors,"",4,"Oct 4, 2010","Oct 10, 2010",feature,2,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264512
5264508,Macro for control schemes,"",4,"Oct 4, 2010","Oct 10, 2010",feature,2,unstarted,"Sep 20, 2010",,,Michael Harrington,,,http://www.pivotaltracker.com/story/show/5264508
